iter,pos,0.000000e+000,2.000000e-002,4.000000e-002,6.000000e-002,8.000000e-002,1.000000e-001,1.200000e-001,1.400000e-001,1.600000e-001,1.800000e-001,2.000000e-001,2.200000e-001,2.400000e-001,2.600000e-001,2.800000e-001,3.000000e-001,3.200000e-001,3.400000e-001,3.600000e-001,3.800000e-001,4.000000e-001,4.200000e-001,4.400000e-001,4.600000e-001,4.800000e-001,5.000000e-001,5.200000e-001,5.400000e-001,5.600000e-001,5.800000e-001,6.000000e-001,6.200000e-001,6.400000e-001,6.600000e-001,6.800000e-001,7.000000e-001,7.200000e-001,7.400000e-001,7.600000e-001,7.800000e-001,8.000000e-001,8.200000e-001,8.400000e-001,8.600000e-001,8.800000e-001,9.000000e-001,9.200000e-001,9.400000e-001,9.600000e-001,9.800000e-001,1.000000e+000
0,0,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,1.000000e+000
100,10.000000,3.461545e-020,3.548439e-019,1.315529e-018,5.588381e-018,2.500185e-017,1.137975e-016,5.188781e-016,2.350114e-015,1.051601e-014,4.630969e-014,2.001011e-013,8.462668e-013,3.495519e-012,1.407418e-011,5.513994e-011,2.098509e-010,7.745684e-010,2.768482e-009,9.567666e-009,3.192430e-008,1.027010e-007,3.181069e-007,9.474263e-007,2.709861e-006,7.434717e-006,1.954439e-005,4.918006e-005,1.183555e-004,2.722114e-004,5.980011e-004,1.254349e-003,2.511843e-003,4.802482e-003,8.769846e-003,1.530539e-002,2.555169e-002,4.085437e-002,6.265326e-002,9.231937e-002,1.309629e-001,1.792515e-001,2.372815e-001,3.045325e-001,3.799181e-001,4.619188e-001,5.487688e-001,6.386584e-001,7.299184e-001,8.211634e-001,9.113853e-001,1.000000e+000
200,20.000000,2.222352e-012,3.651656e-012,7.939567e-012,2.009932e-011,5.379890e-011,1.466862e-010,4.008715e-010,1.088754e-009,2.923532e-009,7.734016e-009,2.010449e-008,5.124988e-008,1.279056e-007,3.120929e-007,7.436377e-007,1.728523e-006,3.915924e-006,8.639635e-006,1.855068e-005,3.874098e-005,7.865213e-005,1.551683e-004,2.973804e-004,5.535329e-004,1.000561e-003,1.756321e-003,2.994049e-003,4.957788e-003,7.976567e-003,1.247421e-002,1.897118e-002,2.807493e-002,4.045645e-002,5.681245e-002,7.781555e-002,1.040571e-001,1.359896e-001,1.738772e-001,2.177606e-001,2.674427e-001,3.224967e-001,3.822959e-001,4.460602e-001,5.129145e-001,5.819506e-001,6.522866e-001,7.231187e-001,7.937616e-001,8.636772e-001,9.324911e-001,1.000000e+000
300,30.000000,5.202887e-009,6.614035e-009,1.084748e-008,2.051088e-008,4.121475e-008,8.476361e-008,1.753821e-007,3.618638e-007,7.407111e-007,1.499146e-006,2.993046e-006,5.884450e-006,1.137741e-005,2.161073e-005,4.029185e-005,7.368675e-005,1.321131e-004,2.321101e-004,3.994697e-004,6.732915e-004,1.111155e-003,1.795374e-003,2.840083e-003,4.398669e-003,6.670723e-003,9.907445e-003,1.441422e-002,2.054902e-002,2.871557e-002,3.935053e-002,5.290471e-002,6.981917e-002,9.049778e-002,1.152788e-001,1.444081e-001,1.780172e-001,2.161082e-001,2.585478e-001,3.050708e-001,3.552933e-001,4.087336e-001,4.648387e-001,5.230149e-001,5.826583e-001,6.431844e-001,7.040536e-001,7.647919e-001,8.250071e-001,8.843988e-001,9.427641e-001,1.000000e+000
400,40.000000,4.180946e-007,4.818426e-007,6.730865e-007,1.062255e-006,1.783060e-006,3.076796e-006,5.363302e-006,9.357001e-006,1.625149e-005,2.800570e-005,4.777662e-005,8.055652e-005,1.340863e-004,2.201267e-004,3.561740e-004,5.676980e-004,8.909574e-004,1.376399e-003,2.092575e-003,3.130408e-003,4.607526e-003,6.672243e-003,9.506668e-003,1.332831e-002,1.838957e-002,2.497456e-002,3.339277e-002,4.396959e-002,5.703373e-002,7.290214e-002,9.186341e-002,1.141608e-001,1.399764e-001,1.694173e-001,2.025063e-001,2.391762e-001,2.792703e-001,3.225471e-001,3.686908e-001,4.173251e-001,4.680299e-001,5.203603e-001,5.738647e-001,6.281035e-001,6.826643e-001,7.371761e-001,7.913196e-001,8.448353e-001,8.975281e-001,9.492697e-001,1.000000e+000
500,50.000000,6.885637e-006,7.561154e-006,9.587707e-006,1.345020e-005,2.000659e-005,3.066935e-005,4.765587e-005,7.435385e-005,1.158376e-004,1.795765e-004,2.763817e-004,4.216360e-004,6.368473e-004,9.515493e-004,1.405549e-003,2.051483e-003,2.957586e-003,4.210537e-003,5.918147e-003,8.211634e-003,1.124714e-002,1.520616e-002,2.029450e-002,2.673954e-002,3.478554e-002,4.468701e-002,5.670021e-002,7.107316e-002,8.803465e-002,1.077829e-001,1.304746e-001,1.562155e-001,1.850523e-001,2.169681e-001,2.518801e-001,2.896408e-001,3.300430e-001,3.728264e-001,4.176879e-001,4.642929e-001,5.122879e-001,5.613131e-001,6.110149e-001,6.610568e-001,7.111300e-001,7.609606e-001,8.103163e-001,8.590109e-001,9.069066e-001,9.539155e-001,1.000000e+000
600,60.000000,4.770766e-005,5.097532e-005,6.077832e-005,7.873287e-005,1.075804e-004,1.515828e-004,2.169998e-004,3.127318e-004,4.511566e-004,6.491816e-004,9.295235e-004,1.322219e-003,1.866347e-003,2.611919e-003,3.621857e-003,4.973962e-003,6.762700e-003,9.100646e-003,1.211937e-002,1.596954e-002,2.082006e-002,2.685603e-002,3.427545e-002,4.328460e-002,5.409219e-002,6.690249e-002,8.190757e-002,9.927928e-002,1.191613e-001,1.416615e-001,1.668459e-001,1.947337e-001,2.252943e-001,2.584462e-001,2.940589e-001,3.319560e-001,3.719206e-001,4.137027e-001,4.570269e-001,5.016020e-001,5.471299e-001,5.933147e-001,6.398715e-001,6.865336e-001,7.330592e-001,7.792366e-001,8.248883e-001,8.698734e-001,9.140894e-001,9.574730e-001,1.000000e+000
700,70.000000,1.961835e-004,2.061009e-004,2.358528e-004,2.889683e-004,3.712753e-004,4.915041e-004,6.619167e-004,8.991082e-004,1.224985e-003,1.667913e-003,2.264009e-003,3.058547e-003,4.107399e-003,5.478455e-003,7.252900e-003,9.526230e-003,1.240888e-002,1.602629e-002,2.051834e-002,2.603790e-002,3.274861e-002,4.082167e-002,5.043170e-002,6.175192e-002,7.494856e-002,9.017494e-002,1.075654e-001,1.272293e-001,1.492459e-001,1.736597e-001,2.004772e-001,2.296648e-001,2.611484e-001,2.948147e-001,3.305135e-001,3.680621e-001,4.072504e-001,4.478469e-001,4.896058e-001,5.322739e-001,5.755972e-001,6.193285e-001,6.632325e-001,7.070920e-001,7.507118e-001,7.939227e-001,8.365841e-001,8.785856e-001,9.198483e-001,9.603249e-001,1.000000e+000
800,80.000000,5.757315e-004,5.980992e-004,6.652023e-004,7.829562e-004,9.609604e-004,1.213237e-003,1.558886e-003,2.022868e-003,2.636918e-003,3.440548e-003,4.482095e-003,5.819757e-003,7.522535e-003,9.671006e-003,1.235781e-002,1.568778e-002,1.977759e-002,2.475483e-002,3.075651e-002,3.792678e-002,4.641413e-002,5.636783e-002,6.793392e-002,8.125071e-002,9.644413e-002,1.136230e-001,1.328747e-001,1.542606e-001,1.778135e-001,2.035345e-001,2.313917e-001,2.613201e-001,2.932219e-001,3.269693e-001,3.624068e-001,3.993556e-001,4.376182e-001,4.769837e-001,5.172330e-001,5.581448e-001,5.995008e-001,6.410907e-001,6.827170e-001,7.241986e-001,7.653744e-001,8.061057e-001,8.462781e-001,8.858030e-001,9.246178e-001,9.626866e-001,1.000000e+000
